,入金額合計,¥0
,報酬額,¥0

,プロジェクト,YouVoice Academy,,,,,プロジェクト,ロゴミライキャンプ,,,,,プロジェクト,ショート動画ブートキャンプ,,,,,プロジェクト,ある
,入金額合計,¥0,,,,,入金額合計,¥0,,,,,入金額合計,¥0,,,,,入金額合計,¥0
,報酬額,¥0,,,,,報酬額,¥0,,,,,報酬額,¥0,,,,,報酬額,¥0
,入金日,購入者名,入金額,報酬割合,報酬額,,入金日,購入者名,入金額,報酬割合,報酬額,,入金日,購入者名,入金額,報酬割合,報酬額,,入金日,購入者名,入金額,報酬割合,報酬額
1,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
2,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
3,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
4,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
5,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
6,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
7,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
8,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
9,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
10,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
11,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
12,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
13,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
14,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
15,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
16,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
17,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
18,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
19,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
20,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
21,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
22,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
23,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
24,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
25,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
26,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
27,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
28,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
29,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
30,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0,,,,,5.0%,¥0
,,,¥0,,¥0,,,,¥0,,¥0,,,,¥0,,¥0,,,,¥0,,¥0
