page,clicks,impressions,ctr,position,query_top3,date_from,date_to
https://otona-match.com/marrish-review/,0,10,0,57.8,マリッシュ 口コミ | マリッシュ 再婚 | マリッシュ 再婚 おすすめ,2026-02-21,2026-03-20
https://otona-match.com/sakura-gyosha-miwakekata/,0,9,0,52.4,サクラ 見分け方 | マッチングアプリ サクラ | omiai アプリ サクラ,2026-02-21,2026-03-20
https://otona-match.com/,0,7,0,6,,2026-02-21,2026-03-20
https://otona-match.com/matching-app-ranking-2026/,0,7,0,7.6,,2026-02-21,2026-03-20
https://otona-match.com/matching-app-first-message/,1,5,20.0,13.8,マチアプ 初メッセージ | マッチングアプリ うまくいくパターン,2026-02-21,2026-03-20
https://otona-match.com/matching-app-2kai-me-date/,0,5,0,68.4,2回目 デート 誘い方 | マッチング アプリ 二 回目 の デート | マッチングアプリ 二回目のデート,2026-02-21,2026-03-20
https://otona-match.com/pairs-review/,0,5,0,58.2,ペアーズ 評判 | ペアーズラブ 口コミ | pairs 評判 女,2026-02-21,2026-03-20
https://otona-match.com/matching-app-40dai-osusume/,0,4,0,82.5,40 代 マッチング アプリ | 40代 出会い アプリ | マッチングアプリおすすめ 40代,2026-02-21,2026-03-20
https://otona-match.com/matching-app-date-basho/,0,4,0,8.2,,2026-02-21,2026-03-20
https://otona-match.com/matching-app-price-comparison/,0,4,0,85.5,マッチング アプリ 料金 一覧 | マッチングアプリ 料金 | 既婚者マッチングアプリ 無料プランvs有料プラン,2026-02-21,2026-03-20
https://otona-match.com/kekkon-soudan-ryoukin-hikaku/,0,1,0,83,結婚相談所 料金比較,2026-02-21,2026-03-20
https://otona-match.com/konkatsu-40dai/,0,1,0,22,,2026-02-21,2026-03-20
https://otona-match.com/omiai-review/,0,1,0,90,omiai 口コミ,2026-02-21,2026-03-20
