カテゴリ,商品名,eBay販売価格(USD),メルカリ仕入れ目安(JPY),推定利益(USD),販売日,ニッチ度,備考
鉋・大工道具,Tsunesaburo 70mm Maboroshi Plane,$1536,3000-10000,$1400+,2026-02,★★★★★,常三郎の幻シリーズ
鉋・大工道具,Naga Dai Kanna Yamamoto Kensuke 60mm,$1961,5000-15000,$1800+,2026-03,★★★★★,山本謙介作 長台鉋
鉋・大工道具,Tsunesaburo Meigo Ryomo 55mm Kanna,$1634,3000-8000,$1500+,2026-03,★★★★★,銘鋼・両面
鉋・大工道具,Togyu 65mm Smoothing Hand Plane,$849,2000-5000,$750+,2026-02,★★★★★,闘牛銘の鉋
鉋・大工道具,Vintage Hand Plane Kanna Iron Part,$634,1000-3000,$570+,2026-02,★★★★☆,刃だけでも高値
鉋・大工道具,Morikage 65mm Smoothing Plane,$588,2000-5000,$500+,2026-02,★★★★★,森景銘
鉋・大工道具,Nankin Kanna Smoothing Plane Mitsu-Yuki,$523,1500-4000,$450+,2026-02,★★★★☆,南京鉋・三雪
鉋・大工道具,Kosado 60mm Smoothing Plane,$523,2000-5000,$430+,2026-02,★★★★☆,古佐渡銘
鉋・大工道具,Yoshihiromaru 58mm Smoothing Plane,$490,2000-4000,$420+,2026-02,★★★★☆,義弘丸銘
鉋・大工道具,Senkichi 60mm Japanese KANNA,$402,1500-3000,$340+,2026-02,★★★★☆,千吉ブランド
鉋・大工道具,Ishibashi Toushi Kanna 70mm,$349,1500-3000,$290+,2026-02,★★★★☆,石橋銘
鉋・大工道具,Kakuri 42mm Hand Plane,$269,1000-2500,$220+,2026-03,★★★☆☆,角利 入門向け
鉋・大工道具,52mm Japanese Smoothing Hand Plane,$262,1000-2000,$210+,2026-02,★★★☆☆,無銘でもこの価格
鑿（のみ）,Japanese Vintage Nomi Chisel Set 10pcs Professional,$150-400,3000-8000,$100-300,通年,★★★★★,10本セットが人気
鑿（のみ）,Kikuhiro Maru Vintage Nomi Chisel Set of 10,$200-500,3000-10000,$150-400,通年,★★★★★,菊弘丸 丸鑿セット
鑿（のみ）,Japanese Hiramachi Nomi Chisel 21mm,$30-80,500-1500,$15-50,通年,★★★★☆,平待ち鑿 単品
鑿（のみ）,NOMI Vintage Long Chisel Set Made by Japanese Craftsmen,$100-300,2000-6000,$60-200,通年,★★★★☆,長鑿セット
盆栽鉢,Vintage Japanese Signed Turquoise Glaze Bonsai Pot,$37,2000-6000,$10+,2026-02,★★★★★,作家サイン入り
盆栽鉢,Vintage Japanese Jade Rose Quartz Bonsai Tree Pot,$68,3000-8000,$30+,2026-03,★★★★☆,翡翠・ローズクォーツ
盆栽鉢,Japanese Handmade Cobalt Blue Ceramic Bonsai Pot,$31,1500-4000,$10+,2026-02,★★★★☆,手作りコバルトブルー
盆栽鉢,Vintage Japanese Celadon Bonsai Planter Heron Bird,$25,1500-3000,$5+,2026-02,★★★★☆,青磁・サギ絵柄
南部鉄瓶,Vintage Nambu Tetsubin Cast Iron Teapot,$42-200,3000-15000,$10-150,通年,★★★★☆,南部鉄瓶 一般品
南部鉄瓶,Ryubundo Vintage Tetsubin Iron Kettle,$200-1000,10000-50000,$100-800,通年,★★★★★,龍文堂 高級品
南部鉄瓶,Japanese Cast Iron Tetsubin Ribbed Design,$59,3000-10000,$20+,2026-02,★★★★☆,あられ模様
和包丁,Japanese Chef DEBA Vintage Heavy 193/358mm,$28,2000-5000,$10+,2026-03,★★★★☆,出刃包丁 ヴィンテージ
和包丁,Japanese SANTOKU Vintage 160/290mm,$28,1500-3000,$10+,2026-02,★★★☆☆,三徳包丁
和包丁,Sakai Takayuki Japanese Gyuto Chef Knife,$80-300,5000-15000,$30-200,通年,★★★★☆,堺孝行 牛刀
和包丁,Masamoto Japanese Deba Knife,$100-400,5000-20000,$50-300,通年,★★★★★,正本 出刃
帯付きレコード,KISS Dynasty Japanese Import LP w/OBI 1979,$52,500-2000,$30+,2026-02,★★★★☆,ロック名盤 帯付き
帯付きレコード,Gundam OST Vinyl LP Japan Anime w/Obi,$51,500-3000,$25+,2026-02,★★★★★,アニメ×レコードのW需要
帯付きレコード,SATELLITE LOVERS Japan LTD Edition LP OBI,$74,1000-3000,$50+,2026-02,★★★★★,限定盤・帯付き
帯付きレコード,Billy Joel The Stranger First Japanese Pressing w/Obi,$34,500-1500,$20+,2026-02,★★★★☆,日本初版
帯付きレコード,Brand X Livestock 1977 OBI Japanese,$62,500-1500,$45+,2025-12,★★★★★,プログレ日本盤
