page,clicks,impressions,ctr,position,query_top3,date_from,date_to
https://otona-match.com/marrish-review/,0,17,0,54.7,マリッシュ 再婚 | マリッシュ 口コミ | マリッシュ 評価,2026-02-22,2026-03-21
https://otona-match.com/matching-app-ranking-2026/,0,15,0,8.1,,2026-02-22,2026-03-21
https://otona-match.com/sakura-gyosha-miwakekata/,0,11,0,44.3,サクラ 見分け方 | マッチングアプリ サクラ | omiai アプリ サクラ,2026-02-22,2026-03-21
https://otona-match.com/,0,7,0,6,,2026-02-22,2026-03-21
https://otona-match.com/matching-app-first-message/,1,6,16.67,13.8,マチアプ 初メッセージ | マッチングアプリ うまくいくパターン | マッチングアプリ 最初のメッセージ,2026-02-22,2026-03-21
https://otona-match.com/matching-app-date-basho/,0,6,0,10.7,マチアプ 初デート場所,2026-02-22,2026-03-21
https://otona-match.com/matching-app-price-comparison/,0,6,0,75.7,マッチング アプリ 料金 一覧 | マッチングアプリ 料金 | マッチングアプリ 料金比較,2026-02-22,2026-03-21
https://otona-match.com/pairs-review/,0,6,0,64.7,ペアーズ 評判 | ペアーズラブ 口コミ | pairs 評判 女,2026-02-22,2026-03-21
https://otona-match.com/matching-app-2kai-me-date/,0,5,0,68.4,2回目 デート 誘い方 | マッチング アプリ 二 回目 の デート | マッチングアプリ 二回目のデート,2026-02-22,2026-03-21
https://otona-match.com/matching-app-40dai-osusume/,0,5,0,82.4,40 代 マッチング アプリ | 40代 出会い アプリ | マッチングアプリ おすすめ 40代,2026-02-22,2026-03-21
https://otona-match.com/omiai-review/,0,4,0,79,omiai 感想 | omiai 口コミ | omiai 口コミ （omiai 評判）,2026-02-22,2026-03-21
https://otona-match.com/konkatsu-40dai/,0,2,0,13.5,,2026-02-22,2026-03-21
https://otona-match.com/kekkon-soudan-ryoukin-hikaku/,0,1,0,83,結婚相談所 料金比較,2026-02-22,2026-03-21
