id,slug,title,status,published_date,category,type,word_count,affiliate_count,internal_links,累計PV,wp_url,notes
9,matching-app-ranking-2026,【2026年3月】マッチングアプリおすすめ人気ランキング10選｜無料あり・目的別に比較,publish,2026-03-15,matching-apps,キラー,5297,0,5,1,https://otona-match.com/matching-app-ranking-2026/,メインKW：マッチングアプリ おすすめ｜リライト済2026-03-15
10,pairs-review,【2026年】ペアーズの評判・口コミ300件を調査｜料金・年齢層・出会えるコツ,publish,2026-03-15,matching-apps,キラー,2996,0,3,,https://otona-match.com/pairs-review/,メインKW：ペアーズ 評判｜リライト済2026-03-15
11,with-review,with（ウィズ）の評判と本音レビュー｜性格診断マッチングは本当に当たる？,publish,2026-03-15,matching-apps,キラー,2612,0,3,,https://otona-match.com/with-review/,メインKW：with 評判｜リライト済2026-03-15
12,matching-app-first-date-guide,マッチングアプリで会うまでの流れ｜初心者でも失敗しないメッセージ術,publish,2026-03-15,matching-apps,集客,3230,0,3,,https://otona-match.com/matching-app-first-date-guide/,メインKW：マッチングアプリ 会うまで｜リライト済2026-03-15
13,matching-app-price-comparison,【2026年】マッチングアプリ料金比較表｜無料vs有料の違い・最安で使う方法,publish,2026-03-15,matching-apps,キラー,4055,0,4,1,https://otona-match.com/matching-app-price-comparison/,メインKW：マッチングアプリ 料金｜リライト済2026-03-15
14,deaikei-vs-matching-app,出会い系サイトとマッチングアプリの違い｜安全に使えるのはどっち？,publish,2026-03-15,deaikei,集客,2860,0,3,3,https://otona-match.com/deaikei-vs-matching-app/,メインKW：出会い系 マッチングアプリ 違い｜リライト済2026-03-15
15,happy-mail-review,ハッピーメールの評判・安全性を検証｜サクラや業者の見分け方も解説,publish,2026-03-15,deaikei,キラー,2999,0,3,2,https://otona-match.com/happy-mail-review/,メインKW：ハッピーメール 評判｜リライト済2026-03-15
16,pcmax-review,PCMAX（ピーシーマックス）の評判と体験レビュー｜出会える使い方を解説,publish,2026-03-15,deaikei,キラー,3343,3,3,2,https://otona-match.com/pcmax-review/,メインKW：PCMAX 評判｜リライト済2026-03-15
17,konkatsu-app-osusume,【2026年版】婚活アプリおすすめ5選｜本気で結婚したい人のための完全ガイド,publish,2026-03-15,konkatsu,キラー,4144,0,3,,https://otona-match.com/konkatsu-app-osusume/,メインKW：婚活アプリ おすすめ｜リライト済2026-03-15
18,kekkon-soudan-vs-app,結婚相談所とマッチングアプリどっちがいい？料金・成婚率・サポートを比較,publish,2026-03-15,konkatsu,キラー,4043,0,3,,https://otona-match.com/kekkon-soudan-vs-app/,メインKW：結婚相談所 マッチングアプリ 比較｜リライト済2026-03-15
