公開順,タイトル,ステータス,公開日,柱,記事タイプ,カテゴリ,メインKW,文字数,アフィリ数,内部リンク数,累計PV,ファイル名,WordPress ID,WordPress URL,備考
1,【用途別】格安SIMの選び方完全ガイド｜あなたに最適なSIMが見つかる,公開済,2026-03-14,柱1:用途別,ピラー,yoto-betsu,格安SIM 用途別 おすすめ,9500,3,6,1,yoto-betsu-kakuyasu-sim-erabikata,13,https://sim-hikaku.online/yoto-betsu-kakuyasu-sim-erabikata/,Phase1最優先
2,サブ回線におすすめの格安SIM7選｜月額0円〜で障害対策も万全,公開済,2026-03-17,柱1:用途別,収益,yoto-betsu,格安SIM 副回線 サブ回線 おすすめ,7200,7,3,1,sub-kaisen-kakuyasu-sim-osusume,24,https://sim-hikaku.online/sub-kaisen-kakuyasu-sim-osusume/,Phase1 3/17 07:00JST自動公開
3,デュアルSIM最強の組み合わせ5選｜通話+データを月1000円以下に,公開済,2026-03-19,柱1:用途別,収益,yoto-betsu,デュアルSIM 最強 組み合わせ,6800,5,2,,dual-sim-saikyo-kumiawase,25,https://sim-hikaku.online/dual-sim-saikyo-kumiawase/,Phase1 3/19 07:00JST自動公開
4,UQモバイルの評判・口コミ｜実際に使って分かったデメリットと注意点,公開済,2026-03-21,柱4:レビュー,収益,review,UQモバイル 評判 デメリット,8200,3,2,,uq-mobile-hyoban-kuchikomi,26,https://sim-hikaku.online/uq-mobile-hyoban-kuchikomi/,Phase1 3/21 07:00JST自動公開 最高単価6480円 UQモバイルVC追加(2026-03-23)
5,格安SIM料金比較20社【2026年3月】月額290円〜あなたに最安のプランは？,公開済,2026-03-15,柱3:料金比較,ピラー,ryokin-hikaku,格安SIM 料金比較 一覧,9200,11,3,1,kakuyasu-sim-ryokin-hikaku-ichiran,27,https://sim-hikaku.online/kakuyasu-sim-ryokin-hikaku-ichiran/,Phase1 誰でもスマホAT追加(2026-03-23) CTR改善タイトル更新(2026-03-28)
6,【2026年最新】格安SIMへの乗り換え完全ガイド｜5ステップで失敗しないMNP手順,公開済,2026-03-17,柱2:乗り換え,ピラー,norikae-guide,格安SIM 乗り換え 手順 方法,8200,4,5,,kakuyasu-sim-norikae-tejun-pillar,120,https://sim-hikaku.online/kakuyasu-sim-norikae-tejun-pillar/,ハブ記事 MNPワンストップ解説 ファクトチェック済 ワイモバイルA8+HISモバイルATアフィリ挿入 2026-03-17公開 誰でもスマホAT追加(2026-03-23)
7,【2026年最新】格安SIM全社レビューまとめ｜主要15社の料金・速度・口コミを徹底比較,公開済,2026-03-17,柱4:レビュー,ピラー,carrier-review,格安SIM レビュー 口コミ まとめ,8400,2,5,,kakuyasu-sim-review-matome-pillar,122,https://sim-hikaku.online/kakuyasu-sim-review-matome-pillar/,ハブ記事 15社レビュー ワイモバイルA8+HISモバイルATアフィリ挿入
8,【2026年最新】海外旅行におすすめのeSIM比較7選｜Airalo・trifa・Holafly徹底解説,公開済,2026-03-18,柱5:海外SIM,クラスター,kaigai-sim,海外旅行 eSIM おすすめ 比較,8300,1,2,,kaigai-ryokou-esim-osusume,124,https://sim-hikaku.online/kaigai-ryokou-esim-osusume/,eSIM7社比較 地域別ガイド JAPAN&GLOBAL eSIMもしも追加(2026-03-23)
9,南米旅行のSIM・eSIM完全ガイド｜現地在住者が教える通信費50%節約術,公開済,2026-03-18,柱5:海外SIM,クラスター,kaigai-sim,南米 SIM eSIM 旅行,8100,1,3,,nanbei-sim-esim-guide,126,https://sim-hikaku.online/nanbei-sim-esim-guide/,パラグアイ実体験ベース E-E-A-T強 JAPAN&GLOBAL eSIMもしも追加(2026-03-23)
10,"楽天モバイル評判8選｜最強プラン3,278円は本当にお得？【2026年】",公開済,2026-03-17,柱4:レビュー,クラスター,carrier-review,楽天モバイル 評判 口コミ,8500,3,2,1,rakuten-mobile-hyoban,106,https://sim-hikaku.online/rakuten-mobile-hyoban/,ファクトチェック済 2026-03-17公開
11,LINEMO評判7選｜ベストプランの落とし穴と月990円の真実【2026年】,公開済,2026-03-17,柱4:レビュー,クラスター,carrier-review,LINEMO 評判 口コミ,8500,3,6,,linemo-hyoban,108,https://sim-hikaku.online/linemo-hyoban/,ファクトチェック済 2026-03-17公開 LINEMO VC追加(2026-03-23)
